transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,Total_Bill,product_category,product_type,product_detail,Size,Month Name,Day Name,Hour,Month,Day of Week
3293,07-01-2023,07:07:56,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Saturday,7,1,5
4393,08-01-2023,19:58:16,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Sunday,19,1,6
4551,09-01-2023,08:41:24,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,8,1,0
4586,09-01-2023,09:06:53,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,9,1,0
4786,09-01-2023,11:53:17,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,11,1,0
5506,10-01-2023,16:50:43,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Tuesday,16,1,1
6266,12-01-2023,08:43:29,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Thursday,8,1,3
6932,13-01-2023,09:54:16,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Friday,9,1,4
7073,13-01-2023,12:05:51,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Friday,12,1,4
7532,14-01-2023,09:44:57,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Saturday,9,1,5
8609,16-01-2023,07:44:42,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,7,1,0
8791,16-01-2023,09:42:49,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,9,1,0
9092,16-01-2023,17:22:44,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,17,1,0
9839,18-01-2023,08:35:36,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Wednesday,8,1,2
10921,20-01-2023,07:49:38,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Friday,7,1,4
11296,20-01-2023,14:54:24,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Friday,14,1,4
13411,24-01-2023,10:51:20,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Tuesday,10,1,1
13904,25-01-2023,09:19:33,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Wednesday,9,1,2
14069,25-01-2023,12:45:49,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Wednesday,12,1,2
14978,27-01-2023,08:36:07,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Friday,8,1,4
16686,30-01-2023,12:05:51,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,12,1,0
16763,30-01-2023,14:38:05,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Monday,14,1,0
16947,31-01-2023,07:49:38,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Tuesday,7,1,1
17266,31-01-2023,16:04:41,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,January,Tuesday,16,1,1
20687,07-02-2023,07:07:56,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Tuesday,7,2,1
20902,07-02-2023,10:01:19,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Tuesday,10,2,1
21451,08-02-2023,10:27:56,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Wednesday,10,2,2
22298,09-02-2023,16:04:41,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Thursday,16,2,3
24115,12-02-2023,17:14:37,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Sunday,17,2,6
24687,13-02-2023,16:01:52,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Monday,16,2,0
25908,15-02-2023,16:24:10,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Wednesday,16,2,2
26096,16-02-2023,07:44:42,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Thursday,7,2,3
26573,16-02-2023,17:22:44,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Thursday,17,2,3
27236,18-02-2023,07:27:07,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Saturday,7,2,5
27277,18-02-2023,07:52:46,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Saturday,7,2,5
27917,19-02-2023,08:03:48,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Sunday,8,2,6
27919,19-02-2023,08:03:54,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Sunday,8,2,6
28506,20-02-2023,07:49:38,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Monday,7,2,0
31064,24-02-2023,10:51:20,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Friday,10,2,4
31560,25-02-2023,09:19:33,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Saturday,9,2,5
31745,25-02-2023,12:45:49,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,February,Saturday,12,2,5
37963,07-03-2023,10:01:19,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Tuesday,10,3,1
38472,08-03-2023,08:36:15,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Wednesday,8,3,2
39071,08-03-2023,19:58:16,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Wednesday,19,3,2
39292,09-03-2023,09:06:53,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Thursday,9,3,3
39391,09-03-2023,10:03:18,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Thursday,10,3,3
40545,10-03-2023,19:51:55,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Friday,19,3,4
42030,13-03-2023,08:22:09,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Monday,8,3,0
42381,13-03-2023,12:05:51,5,Lower Manhattan,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Monday,12,3,0
42900,14-03-2023,09:33:36,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Tuesday,9,3,1
42934,14-03-2023,09:44:57,8,Hell's Kitchen,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Tuesday,9,3,1
43468,15-03-2023,08:03:48,3,Astoria,12,1,8.95,8.95,Loose Tea,Herbal tea,Peppermint,Not Defined,March,Wednesday,8,3,2
